Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
M17/B11/00;2105696;ADAPTADOR VACUTAINER;300;600;PORTATUBO EXTRAC
M17/B10/00;2239335;AGUJA 21G VERDE CORTA 25MM;20;40;AGUJ HIPODERM C/SEGURIDAD 21G 25MM
M17/B10/00;2137688;AGUJA 21G VERDE LARGA 40MM;20;40;AGUJ HIPODERM C/SEGURIDAD 21G 40MM
M17/B10/00;2137663;AGUJA 25G;25;50;AGUJ HIPODERM C/SEGURIDAD 25G 16MM
M18/B02;2286800;AGUJA ECOGENICA 22G;30;CALLE;AGUJA ECOGENICA PUNTA DOBLE BISEL ACERO 22G 80MM
M18/B02;2137740;AGUJA EPIDURAL 18G;25;CALLE;AGUJA ESPINAL ANESTESIA EPIDURAL PUNTA TUOHY 18G 120MM
M17/B04/00;2138535;AGUJA P/VACUTAINER;200;400;ADPT TB EXTRAC
M17/B08/00;2137923;AGUJA ROSA CARGA DE MEDICACIÓN PUNTA ROMA;1500;3000;AGUJ DE CARG ROMA 18G 40MM
M17/B03/00;2222929;AGUJA SUBCUTÁNEA INSULINA;50;100;AGUJ HIPODERM SUB INSUL DOB SEG 30G 5MM
M05/B01/00;2147611;AIRTRAQ LARINGOSCOPIO DESECHABLE AZUL;1;2;LARING OPTICO STD DESECH AZL 18MM
M05/B01/00;2146856;AIRTRAQ LARINGOSCOPIO DESECHABLE VERDE;1;2;LARING OPTICO PEQ DESECH VRD 16MM
M05/B01;2147609;AIRTRAQ NARANJA;6;CALLE;LARINGOSCOPIO OPTICO DESECHABLE NARANJA 15MM
M05/B08/00;2147473;ALARGADERA CAPNÓGRAFO;10;20;LINEA MUESTREO CAPN.. INT PLET PVC 2,45M
M03/B04/00;2138586;ALARGADERA DE OXÍGENO;5;10;ALARGADERA OXIGENO 2M
M11/B10/00;2138574;ALARGADERA VÍA VENOSA 100CM;25;50;ALARGADERA PRES LUE..HO-HEMBRA EST 100CM
M11/B10/00;2138581;ALARGADERA VÍA VENOSA 20CM;25;50;ALARGADERA EST 20CM
M11/B10/00;2138570;ALARGADERA VÍA VENOSA 50CM;25;50;ALARGADERA EST 50CM
BIOMBOS 1;2150259;AMBÚ DESECHABLE;1;2;BLS RESUCITADORA AD..ECH C/MASCARILLA N5
LENCERIA;2141191;APODREX;10;20;APST TRATAM ULCERAS INADHERENTE 150X45CM
TRQ-1;2141178;APÓSITO BABERO P/TRAQUEOSTOMÍA;30;60;APST CURAS P/ LARINGUECTOMIZ. 20X12CM
M15/B07/00;2319173;APÓSITO CELULOSA HEMOSTÁTICO 7X10CM;5;10;MLL HEMOST CELULOSA..TA DENS REAB 7X10CM
M15/B07/00;2142058;APÓSITO DE ESPUMA DE POLIURETANO MEPILEX 10X10;5;10;APST ESPUMA DE POLI..EPILEX LITE 10X10CM
M15/B05/00;2141183;APÓSITO DE GASA COMÚN OPERDRES 9X10;120;240;APST CURA SECA ADH ..BLE OPERDRES 9X10CM
M15/B04/00;2141181;APÓSITO DE GASA COMÚN OPERDRES 9X15;50;100;APST CURA SECA ADH ..BLE OPERDRES 9X15CM
M15/B04/00;2141184;APÓSITO DE GASA COMÚN OPERDRES 9X20;30;60;APST CURA SECA ADH ..BLE OPERDRES 9X20CM
M15/B04/00;2141185;APÓSITO DE GASA COMÚN OPERDRES 9X25;20;40;APST CURA SECA ADH ..BLE OPERDRES 9X25CM
M15/B04/00;2141182;APÓSITO DE GASA COMÚN OPERDRES 9X30;15;30;APST CURA SECA ADH ..BLE OPERDRES 9X30CM
M15/B05/00;2141186;APÓSITO DE GASA COMÚN OPERDRES 9X5;150;300;APST CURA SECA ADH ..ABLE OPERDRES 9X5CM
M15/B07/00;2141969;APÓSITO DE HIDROFIBRA AQUACEL 10X10;10;20;APST HIDROFIBRA DE ..AQUACEL XTR 10X10CM
M15/B08/00;2141996;APÓSITO DE POLIURETANO ADHESIVO ALEVYN 7,5X7,5;15;30;APST ESPUMA DE POLI..LEVYN ADH 7,5X7,5CM
M15/B08/00;2141933;APÓSITO DE POLIURETANO TALONERA ALEVYN HEEL;15;30;APST ESPUMA DE POLI..YN HEEL 10,5X13,5CM
M15/B10/00;2141999;APÓSITO ESPUMA POLIURETANO ALLEVYN C/ADHESIVO 12X12;10;20;APST ESPUMA DE POLI..VYN ADH 12,5X12,5CM
M15/B10/00;2261897;APÓSITO ESPUMA POLIURETANO ALLEVYN C/ADHESIVO 15X15;10;20;APST ESPUMA DE POLI..ALLEVYN ADH 15X15CM
M15/B10/00;2312886;APÓSITO ESPUMA POLIURETANO MEPILEX SACRO;10;20;APST ESPUMA DE POLI..RDER SACRUM 16X20CM
M15/B10/00;2141883;APÓSITO ESPUMA POLIURETANO S/ADHESIVO BIATAIN 15X15;3;6;APST ESPUMA DE POLI..OTUL ABSORB 15X15CM
M15/B09/00;2141882;APÓSITO ESPUMA POLIURETANO URGOTULL ABSORB 10X12;5;10;APST ESPUMA DE POLI..OTUL ABSORB 10X12CM
M15/B09;2141257;APOSITO FIJACION CVC PICC CLORHEXIDINA;100;CALLE;APOSITO FIJACION PARA CATETER TRANSPARENTE C/CLORHEXIDINA 8,5X11,5CM
M09/B02;2276123;APOSITO FIJACION DRENAJES PIGTAIL;25;CALLE;DISPOSITIVO FIJACION DRENAJE PEQUEÑO 5-16F APROX
M17/B05/00;2319716;APÓSITO FIJACIÓN PICC STATLOCK;20;40;APST FIJN MED LUNA ..MOVILES P/ CAT PICC
M10/B04/00;2141243;APÓSITO FIJADOR SNG;10;20;DISP FIJN SND NASOG NASAL ADU
M15/B06/00;2141875;APÓSITO FILM POLIURETANO TEGADERM 10X12;50;100;FILM POLIUR TEGADERM FILM 10X12CM
M15/B10/00;2261894;APÓSITO FILM POLIURETANO TEGADERM 15X20;5;10;FILM POLIUR TEGADERM FILM 15X20CM
M15/B06/00;2141877;APÓSITO FILM POLIURETANO TEGADERM 6X7;100;200;FILM POLIUR TEGADERM FILM 6X7CM
M15/B06/00;2336954;APÓSITO FILM VÍA CENTRAL CVC Y PICC;20;40;APST FIJN P/ CAT CE..TE REFOR 8,5X11,5CM
M15/B06/00;2201527;APÓSITO FILM VÍA PERIFÉRICA CVP;100;200;APST FIJN P/ CAT PERI TRANSPARENTE 7X8CM
M15/B08/00;2142143;APÓSITO HIROCOLOIDE EXTRAFINO VARIHESIVE 10X10CM;10;20;APST HIDROCOL EXTRA..E EXTRAFINO 10X10CM
M15/B07/00;2142185;APÓSITO MALLA ANTIADHERENTE ADAPTIC 7,6X20;24;48;MLL ANTIADH ADAPTIC 7,6X20,3CM
M15/B07/00;2142177;APÓSITO MALLA ANTIADHERENTE ADAPTIC 7,6X7,6;20;40;MLL ANTIADH ADAPTIC 7,6X7,6CM
M15/B08/00;2141289;APÓSITO OCULAR;5;10;APST OCU 5,6X7CM
M15/B07/00;2141889;APÓSITO URGOTUL 10X12;5;10;MLL DE HIDROCOL URGOTUL 10X12CM
OFICINA;1102263;ARCHIVADOR JASPEADO GRIS FOLIO A4;2;4;ARCHIVADOR AZ PALAN..JASPEADO GRIS FOLIO
LENCERÍA;2143256;BABERO PACIENTE P/COMER;100;200;BABERO PROTECTOR PL..IFICADO DESECHEABLE
M16/B03/00;5071683;BASTONCILLO BOCA SABOR LIMON;30;60;BASTONCILLO BOCA SABOR LIMON B/3
EST5-2;2281022;BATA AISLAM VERDE COMÚN;300;600;BATA N/ EST TNT K19
EST2-1;2142605;BATA ESTÉRIL;20;40;BATA QUIR STD T-L
EST2-1;2281149;BATA IMPERMEABLE;10;20;BATA N/ EST TOT IMPERM EPI II K19
VERTEDERO;2254143;BATEA CARTON DESECHABLE;25;50;BATEA CARTON DBL DESECH
VERTEDERO;5078568;BAYETA ABSORBENTE AMARILLA;1;2;BAYETA ABSORBENTE AMARILLA 38X40
M11/B06/00;2315067;BIOCONECTOR C/ALARGADERA CORTA VÍA PERIFÉRICA CVP;30;60;ALARGADERA 18CM C/ BIOCONECTOR
M16/B04/00;2144158;BISTURI C/MANGO 11;10;20;BISTURI DESECH C/MANGO N11
OFICINA;5034327;BLOC CUADRICULADO 1/8;5;10;BLOC CUADRICULADO 1/8
M08/B09/00;2253686;BLS UROSTOMIA TRANS..50MM ESTO;30;60;BLS UROSTOMIA TRANS..50MM ESTOMA 10-45MM
OFICINA;1102003;BOLÍGRAFO NORMAL AZUL;12;24;BOLIGRAFO PNT NMAL 0,7MM AZL
OFICINA;1102004;BOLÍGRAFO NORMAL NEGRO;12;24;BOLIGRAFO PNT NMAL 0,7MM NGR
OFICINA;1102005;BOLÍGRAFO NORMAL ROJO;12;24;BOLIGRAFO PNT NMAL 0,7MM ROJO
