Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
BIOMBOS 1;2150259;AMBÚ DESECHABLE;1;2;BLS RESUCITADORA AD..ECH C/MASCARILLA N5
EST1-1;2240981;EQUIPO DE SUERO PERFUSIÓN BOMBA BRAUN;200;400;EQ BMB INF C/SEGURIDAD STD 250CM
EST1-3;2139049;JERINGA PRECARGADA 10ml;720;1.440;JERINGA NO EST PRECAR C/NaCL EST 10ML
EST1-4;2138395;JERINGA 10ML;500;1.000;JERINGA 3 CUERPOS CONO LUER 10ML
EST1-5;2138397;JERINGA 5ML;600;1.200;JERINGA 3 CUERPOS CONO LUER 5ML
EST1-6;2139187;EQUIPO DE SUERO COMÚN;300;600;EQ INF EST SEGUR C/TOMA DE AIRE
EST2-1;2142605;BATA ESTÉRIL;20;40;BATA QUIR STD T-L
EST2-1;2281149;BATA IMPERMEABLE;10;20;BATA N/ EST TOT IMPERM EPI II K19
EST2-2;2281552;GUANTE NO ESTERIL NITRILO TALLA S;4.000;8.000;GUANTE NITR NMAL SE..X DEEP BLUE T-S K19
EST2-3;2281553;GUANTE NO ESTERIL NITRILO TALLA M;4.000;8.000;GUANTE NITR NMAL SE..X DEEP BLUE T-M K19
EST2-4;2281554;GUANTE NO ESTERIL NITRILO TALLA L;2.000;4.000;GUANTE NITR NMAL SE..X DEEP BLUE T-L K19
EST3-1;2149736;EQUIPO HEMOFILTRO ST150;4;8;KIT HEMOFILTRACION 1,5M²
EST3-3;2101799;PICC 2 LUCES;4;8;CAT CENT PERI 2LUCES 5F 50CM
EST4-2;2143968;EMPAPADOR;300;600;EMPAPADOR ABSORBENTE >900ML 60X90CM
EST4-3;5213077;CELULOSAS;1.170;2.340;TOALLITA CELULOSA TEJ S/ TEJER 40X27CM
EST4-4;5003132;PAPEL DE MANOS FOLIOS BAÑO;3.750;7.500;TOALLA ECOLOGICA HIDROSOLUBLE 2 CAP
EST5-2;2281022;BATA AISLAM VERDE COMÚN;300;600;BATA N/ EST TNT K19
EST5-3;2326842;MANGUERA DE ASPIRACIÓN;30;60;TB DE ASPIRACION CO.. H-H EST 6X8,5MM 2M
EST5-4;2256036;CONTENEDOR DESECHABLE ASPIRADOR;35;70;BLS P/ FRSC ASPIRACION FLUIDOS 1,5L
LENCERIA;2141775;MEDIA COMPRESIVA TALLA L;4;8;MED ANTIEMBOLICA LRG T-L 26-28CM 64-80CM
LENCERIA;1000110;SERVILLETAS KLEENEX;1.500;3.000;PAÑUELOS DE CELULOSA 2 CAPAS
LENCERIA;2223296;SABANAS DE PAPEL;45;90;SABANA DESECHABLE POLIPROPILENO 150X200C
LENCERIA;2142638;CALZAS;200;400;CALZA CUBRE ZAPATO TNT
LENCERIA;2142649;GORRO;100;200;GORRO QUIR CABELLO LRG
LENCERIA;2141529;TALONERAS GRUESAS;10;20;TALONERA ANTIESCARAS
LENCERIA;5215632;CUCHARA DESECHABLE;50;100;CUCHARA DESECH MAIZ 160MM
LENCERIA;2143262;SUDARIO;5;10;SUDARIO
LENCERIA;2143520;FAJA TALLA S;5;10;FAJA LMB 3 BANDAS T2
LENCERIA;2143521;FAJA TALLA M;4;8;FAJA LMB 3 BANDAS T3
LENCERIA;2254584;BRAGA MALLA GINE;100;200;BRAGA MLL LAVABLE T-XL
LENCERIA;2143522;FAJA TALLA L;2;4;FAJA LMB 4 BANDAS T4
LENCERIA;2141191;APODREX;10;20;APST TRATAM ULCERAS INADHERENTE 150X45CM
LENCERIA;2143925;PAÑALES TALLA L;60;120;ABSORBENTE ELASTICO. OCHE T-G AB >1200ML
LENCERIA;2143956;COMPRESA GINECOLÓGICA;25;50;CMPRS TOCOLOGICA N/ ADH 10X30CM
LENCERIA;2143928;PAÑALES TALLA SG o XL;20;40;ABSORBENTE ELASTICO..CHE T-SG AB >1200ML
LENCERIA;2143926;PAÑALES TALLA M;20;40;ABSORBENTE ELASTICO..E T-M AB 900-1200ML
LENCERÍA;2143256;BABERO PACIENTE P/COMER;100;200;BABERO PROTECTOR PL..IFICADO DESECHEABLE
M03/B02/00;2215794;MASCARILLA VENTIMASK P/TRAQUEOSTOMÍA;3;6;MASC OXIGENO 7 CONC..CIONES P/ TRAQUEOST
